long,lat,name,brand,amenity,website,operator,description,brand:wikipedia,contact:website
131.92765500000002,43.131986,Ермак, продуктовый магазин,,grocery,,Ермак,,
131.915379,43.154291,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.943026,43.114979999999996,Дуэт, мини-маркет,,grocery,,Дуэт,,
131.921675,43.094806,Надежда, мини-маркет,,grocery,,Надежда,,
131.95386499999998,43.10339000000001,Фрегат, магазин,,grocery,,Фрегат,,
131.951291,43.118842,На Ладыгина, супермаркет,,grocery,,На Ладыгина,,
131.944571,43.109429,Новый век, продуктовый магазин,,grocery,,Новый век,,
131.895499,43.09518,Мини-маркет,,grocery,,Мини-маркет,,,
131.936873,43.099883,Еда рядом, гастроном,,grocery,,Еда рядом,,
131.959768,43.100113,Фадеевский, супермаркет,,grocery,,Фадеевский,,
131.922412,43.154777,Парус, сеть супермаркетов,,grocery,,Парус,,
131.922686,43.155231,Асса, супермаркет,,grocery,,Асса,,
131.896973,43.127233000000004,Супермаркет,,grocery,,Супермаркет,,,
131.925236,43.115626,Елена, мини-маркет,,grocery,,Елена,,
131.91716200000002,43.148445,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
131.881051,43.112953999999995,Дружба народов, магазин,,grocery,,Дружба народов,,
131.942874,43.111188,Мини-маркет, ИП Тагиев Э.Т.,,grocery,,Мини-маркет,,
131.86342,43.103356,Бутерброд, мини-маркет,,grocery,,Бутерброд,,
131.882773,43.111527,Продуктовый магазин,,grocery,,Продуктовый магазин,,,
131.960078,43.103842,Родник, супермаркет,,grocery,,Родник,,
131.94068700000003,43.104561,Family, мини-маркет,,grocery,,Family,,
131.94519,43.09568,Еда рядом, гастроном,,grocery,,Еда рядом,,
131.862606,43.100604,7 twelve, супермаркет,,grocery,,7 twelve,,
131.932536,43.158141,Апельсин, мини-маркет,,grocery,,Апельсин,,
131.913351,43.176021,Парус, сеть супермаркетов,,grocery,,Парус,,
131.910047,43.170509,Кировский, супермаркет,,grocery,,Кировский,,
131.924118,43.15399,Мини-маркет,,grocery,,Мини-маркет,,,
131.914595,43.151621,Комфорт, мини-маркет,,grocery,,Комфорт,,
131.940056,43.10117,Мини-маркет,,grocery,,Мини-маркет,,,
131.909495,43.172838,Лиман, супермаркет,,grocery,,Лиман,,
131.916023,43.180479,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
131.930928,43.175645,Наш маркет, супермаркет,,grocery,,Наш маркет,,
131.863684,43.0965,Наш Маркет, мини-маркет,,grocery,,Наш Маркет,,
131.9154,43.149597,Валькирия, продовольственный магазин,,grocery,,Валькирия,,
131.969212,43.119273,Redmart, магазин,,grocery,,Redmart,,
131.958384,43.106204999999996,Наталия, продуктовый магазин,,grocery,,Наталия,,
131.93051699999998,43.16379000000001,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
